
sys	0m0.059s

real	0m0.277s
user	0m0.461s
sys	0m0.056s

real	0m0.270s
user	0m0.446s
sys	0m0.052s

real	0m0.283s
user	0m0.451s
sys	0m0.058s

real	0m0.303s
user	0m0.493s
sys	0m0.060s

real	0m0.273s
user	0m0.444s
sys	0m0.051s

real	0m0.271s
user	0m0.446s
sys	0m0.053s

real	0m0.295s
user	0m0.463s
sys	0m0.057s

real	0m0.288s
user	0m0.461s
sys	0m0.059s

real	0m0.306s
user	0m0.471s
sys	0m0.062s

real	0m0.278s
user	0m0.471s
sys	0m0.055s

real	0m0.314s
user	0m0.457s
sys	0m0.063s

real	0m0.304s
user	0m0.512s
sys	0m0.060s

real	0m0.294s
user	0m0.471s
sys	0m0.056s

real	0m0.299s
user	0m0.479s
sys	0m0.056s

real	0m0.442s
user	0m0.607s
sys	0m0.069s

real	0m0.327s
user	0m0.495s
sys	0m0.060s

real	0m0.458s
user	0m0.620s
sys	0m0.068s

real	0m0.421s
user	0m0.568s
sys	0m0.069s

real	0m0.369s
user	0m0.513s
sys	0m0.065s

real	0m0.379s
user	0m0.560s
sys	0m0.066s

real	0m0.433s
user	0m0.547s
sys	0m0.065s

real	0m0.415s
user	0m0.554s
sys	0m0.065s

real	0m0.374s
user	0m0.517s
sys	0m0.060s

real	0m0.365s
user	0m0.546s
sys	0m0.067s

real	0m0.402s
user	0m0.579s
sys	0m0.067s

real	0m0.462s
user	0m0.535s
sys	0m0.070s

real	0m0.612s
user	0m0.599s
sys	0m0.078s

real	0m0.461s
user	0m0.600s
sys	0m0.068s

real	0m0.634s
user	0m0.604s
sys	0m0.079s

real	0m0.494s
user	0m0.595s
sys	0m0.069s

real	0m0.476s
user	0m0.668s
sys	0m0.069s

real	0m0.633s
user	0m0.642s
sys	0m0.077s

real	0m0.551s
user	0m0.615s
sys	0m0.073s

real	0m0.348s
user	0m0.563s
sys	0m0.063s

real	0m0.403s
user	0m0.605s
sys	0m0.064s

real	0m0.398s
user	0m0.608s
sys	0m0.071s

real	0m0.429s
user	0m0.581s
sys	0m0.066s

real	0m0.461s
user	0m0.610s
sys	0m0.078s

real	0m0.351s
user	0m0.572s
sys	0m0.064s

real	0m0.428s
user	0m0.605s
sys	0m0.073s

real	0m0.335s
user	0m0.551s
sys	0m0.059s

real	0m0.377s
user	0m0.628s
sys	0m0.067s

real	0m0.354s
user	0m0.592s
sys	0m0.067s

real	0m0.366s
user	0m0.587s
sys	0m0.065s

real	0m0.349s
user	0m0.586s
sys	0m0.064s

real	0m0.394s
user	0m0.614s
sys	0m0.073s

real	0m0.371s
user	0m0.598s
sys	0m0.069s

real	0m0.368s
user	0m0.595s
sys	0m0.069s

real	0m0.371s
user	0m0.608s
sys	0m0.069s

real	0m0.392s
user	0m0.667s
sys	0m0.070s

real	0m0.398s
user	0m0.656s
sys	0m0.067s

real	0m0.392s
user	0m0.633s
sys	0m0.071s

real	0m0.403s
user	0m0.639s
sys	0m0.073s

real	0m0.403s
user	0m0.603s
sys	0m0.072s

real	0m0.399s
user	0m0.644s
sys	0m0.074s

real	0m0.370s
user	0m0.607s
sys	0m0.068s

real	0m0.405s
user	0m0.645s
sys	0m0.069s

real	0m0.401s
user	0m0.657s
sys	0m0.068s

real	0m0.413s
user	0m0.704s
sys	0m0.068s

real	0m0.384s
user	0m0.653s
sys	0m0.072s

real	0m0.452s
user	0m0.654s
sys	0m0.075s

real	0m0.457s
user	0m0.683s
sys	0m0.079s

real	0m0.413s
user	0m0.673s
sys	0m0.075s

real	0m0.400s
user	0m0.655s
sys	0m0.074s

real	0m0.426s
user	0m0.677s
sys	0m0.080s

real	0m0.452s
user	0m0.676s
sys	0m0.080s

real	0m0.419s
user	0m0.690s
sys	0m0.077s

real	0m0.396s
user	0m0.645s
sys	0m0.072s

real	0m0.423s
user	0m0.681s
sys	0m0.073s

real	0m0.211s
user	0m0.267s
sys	0m0.036s

real	0m0.197s
user	0m0.267s
sys	0m0.034s

real	0m0.236s
user	0m0.338s
sys	0m0.039s

real	0m0.222s
user	0m0.311s
sys	0m0.037s

real	0m0.225s
user	0m0.329s
sys	0m0.041s

real	0m0.229s
user	0m0.338s
sys	0m0.045s

real	0m0.233s
user	0m0.356s
sys	0m0.042s

real	0m0.235s
user	0m0.364s
sys	0m0.044s

real	0m0.246s
user	0m0.387s
sys	0m0.045s
make: *** [SearchIt] Interrupt: 2

real	0m0.033s
user	0m0.013s
sys	0m0.014s

real	0m0.235s
user	0m0.348s
sys	0m0.043s
make: *** [SearchIt] Interrupt: 2

real	0m0.041s
user	0m0.017s
sys	0m0.009s

real	0m0.258s
user	0m0.378s
sys	0m0.042s
